fecha_publicacion,titulo,keyword_principal,keywords_secundarias,intencion,categoria,longitud_aprox_palabras,internal_link_destino,cta,prioridad
2026-05-27,"Cómo hacer una auditoría SEO básica tú mismo en 30 minutos","auditoria seo basica","auditoria seo gratis, auto auditoria web",tutorial,"Tutorial",1700,/servicios/auditoria-seo,"Auditoría gratis 48h",alta
2026-05-28,"SEO bilingüe ES/EN para Marbella: cómo captar al cliente británico y al español","seo bilingüe marbella","seo ingles marbella, hreflang marbella, seo expat",técnica,"Avanzado",1700,/seo-marbella,"Auditoría gratis 48h",alta
2026-05-29,"Las 10 herramientas SEO gratis que sí merecen la pena en 2026","herramientas seo gratis","herramientas seo, software seo gratis",informacional,"ToF",1400,/blog,"Auditoría gratis 48h",baja
2026-05-30,"SEO en pueblos pequeños: cómo posicionar negocios en Mijas, Coín o Álora","seo pueblos malaga","seo mijas, seo coin, seo provincia malaga",comercial,"Sectorial",1500,/seo-malaga,"Auditoría gratis 48h",baja
2026-05-31,"Cómo configurar Google Analytics 4 para un negocio local","ga4 negocio local","ga4 configurar, analytics local, eventos ga4",tutorial,"Tutorial",1500,/servicios/auditoria-seo,"Auditoría gratis 48h",media
2026-06-01,"SEO para tiendas de moda en Marbella y Puerto Banús","seo moda marbella","seo tienda ropa marbella, seo boutique",comercial,"Sectorial",1400,/seo-marbella,"Auditoría gratis 48h",baja
2026-06-02,"Reseñas falsas en Google: cómo detectarlas y reportarlas","reseñas falsas google","reviews falsas gmb, reportar reseña falsa",informacional,"ToF",1100,/servicios/seo-local,"Auditoría gratis 48h",media
2026-06-03,"Cómo investigar a tu competencia SEO sin pagar herramientas caras","investigar competencia seo","analisis competencia gratis, espiar competidores seo",tutorial,"Tutorial",1500,/servicios/auditoria-seo,"Auditoría gratis 48h",media
2026-06-04,"Por qué tu negocio en Estepona necesita una estrategia SEO específica","seo estepona estrategia","posicionamiento estepona, seo local estepona",comercial,"Sectorial",1300,/seo-estepona,"Auditoría gratis 48h",alta
2026-06-05,"Las búsquedas más frecuentes en la Costa del Sol que tu negocio puede atacar","busquedas costa del sol","keywords malaga, palabras clave costa del sol",informacional,"MoF",1500,/seo-malaga,"Auditoría gratis 48h",alta
2026-06-06,"Imágenes web optimizadas: el detalle SEO que ignora el 80% de las pymes","imagenes optimizadas seo","webp seo, alt text imagenes, lazy loading",técnica,"Avanzado",1300,/servicios/auditoria-seo,"Auditoría gratis 48h",media
2026-06-07,"SEO para abogados de extranjería en la Costa del Sol","seo abogado extranjeria","seo abogado costa del sol, seo despacho juridico",comercial,"Sectorial",1500,/seo-malaga,"Auditoría gratis 48h",media
